# 1:time   2:h+   3:hx 
# FFI cut-off: omega = 0.025
-0.472248895338 9.86527913818e-25 -8.26837988231e-23
-0.472225808777 2.05594418537e-24 -8.14888332165e-23
-0.472202722217 3.15466191549e-24 -8.02771643162e-23
-0.472179635656 4.28331797161e-24 -7.90487848368e-23
-0.472156549095 5.44254579321e-24 -7.78036991102e-23
-0.472133462535 6.63297722736e-24 -7.65419224294e-23
-0.472110375974 7.85523988935e-24 -7.5263481888e-23
-0.472087289414 9.109946812e-24 -7.39684195863e-23
-0.472064202853 1.03977012037e-23 -7.26567911514e-23
-0.472041116292 1.1719098622e-23 -7.13286650803e-23
-0.472018029732 1.30747239874e-23 -6.9984123569e-23
-0.471994943171 1.44651399345e-23 -6.86232656764e-23
-0.47197185661 1.58908921859e-23 -6.72462058607e-23
-0.47194877005 1.73525119477e-23 -6.58530733388e-23
-0.471925683489 1.88505127618e-23 -6.4444012882e-23
-0.471902596929 2.03853782924e-23 -6.3019187865e-23
-0.471879510368 2.19575679811e-23 -6.15787788504e-23
-0.471856423807 2.35675195044e-23 -6.01229829844e-23
-0.471833337247 2.52156457022e-23 -5.86520147226e-23
-0.471810250686 2.69023227507e-23 -5.71661086187e-23
-0.471787164125 2.86278956602e-23 -5.56655180216e-23
-0.471764077565 3.03926805965e-23 -5.4150514544e-23
-0.471740991004 3.21969621703e-23 -5.26213886517e-23
-0.471717904444 3.40409831314e-23 -5.10784519203e-23
-0.471694817883 3.59249491856e-23 -4.95220359691e-23
-0.471671731322 3.78490309474e-23 -4.7952492062e-23
-0.471648644762 3.98133619014e-23 -4.63701914633e-23
-0.471625558201 4.18180308412e-23 -4.47755267593e-23
-0.471602471641 4.38630854351e-23 -4.31689112152e-23
-0.47157938508 4.59485335733e-23 -4.15507785906e-23
-0.471556298519 4.80743422871e-23 -3.99215831461e-23
-0.471533211959 5.02404340565e-23 -3.8281799566e-23
-0.471510125398 5.24466885957e-23 -3.66319229556e-23
-0.471487038837 5.46929433911e-23 -3.49724689584e-23
-0.471463952277 5.69789937799e-23 -3.33039733123e-23
-0.471440865716 5.93045938824e-23 -3.16269899775e-23
-0.471417779156 6.16694562455e-23 -2.99420919614e-23
-0.471394692595 6.40732514515e-23 -2.82498718054e-23
-0.471371606034 6.65156094067e-23 -2.655094064e-23
-0.471348519474 6.8996125027e-23 -2.48459243329e-23
-0.471325432913 7.15143556661e-23 -2.31354652346e-23
-0.471302346352 7.40698198066e-23 -2.1420223054e-23
-0.471279259792 7.66619994154e-23 -1.97008734367e-23
-0.471256173231 7.92903497272e-23 -1.79781022683e-23
-0.471233086671 8.19542947495e-23 -1.62526082818e-23
-0.47121000011 8.46532251989e-23 -1.45251042829e-23
-0.471186913549 8.73865015924e-23 -1.27963153557e-23
