# Spectral_Value,Flux_Value,Flux_Accuracy_StatErrLow,Flux_Accuracy_StatErrHigh,Flux_Accuracy_Quality
3793.14984973682,38.8064002990723,0,0,16777216
3794.02335532896,38.7976989746094,0,0,16777216
3794.89706207635,38.7891006469727,0,0,16777216
3795.77097002532,38.7804985046387,0,0,16777216
3796.6450792222,38.7719993591309,0,0,16777216
3797.51938971333,38.7634010314941,0,0,16777216
3798.39390154507,38.7547988891602,0,0,16777216
3799.26861476379,38.7462997436523,0,0,16777216
3800.14352941586,38.7378005981445,0,0,16777216
3801.01864554767,38.7291984558105,0,0,16777216
3801.89396320561,38.7206993103027,0,0,16777216
3802.7694824361,38.7122001647949,0,0,16777216
3803.64520328556,38.7037010192871,0,0,16777216
3804.52112580041,38.6953010559082,0,0,16777216
3805.39725002709,38.6867980957031,0,0,16777216
3806.27357601206,38.6783981323242,0,0,16777216
3807.15010380177,38.6698989868164,0,0,16777216
3808.02683344271,38.6614990234375,0,0,16777216
3808.90376498135,38.6530990600586,0,0,16777216
3809.78089846419,38.6446990966797,0,0,16777216
3810.65823393773,38.6362991333008,0,0,16777216
3811.53577144849,38.6278991699219,3.80785393714905,3.80785393714905,0
3812.41351104299,34.0256004333496,3.71832013130188,3.71832013130188,0
3813.29145276778,30.2520999908447,3.54796242713928,3.54796242713928,0
3814.16959666939,27.2907009124756,3.54096245765686,3.54096245765686,0
3815.04794279439,28.3474006652832,3.48563051223755,3.48563051223755,0
3815.92649118934,23.0722007751465,3.43962621688843,3.43962621688843,0
3816.80524190083,27.0473003387451,3.51867580413818,3.51867580413818,0
3817.68419497544,32.0331001281738,3.57556509971619,3.57556509971619,0
3818.56335045978,33.1506996154785,3.61745166778564,3.61745166778564,0
3819.44270840047,29.1065998077393,3.50859475135803,3.50859475135803,0
3820.32226884411,19.5280990600586,3.321133852005,3.321133852005,0
3821.20203183735,23.820499420166,3.41595077514648,3.41595077514648,0
3822.08199742682,18.1198997497559,3.37028312683105,3.37028312683105,0
3822.9621656592,22.2096004486084,3.41985988616943,3.41985988616943,0
